Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.58,2.02,1.21,1.089,G8/K0III,15.106756,Dwarf
9.2,2.33,1.3,0.219,B9V,16.03678,Giant
7.91,5.48,1.05,0.226,A6V,16.603903,Giant
8.88,4.3,1.08,0.071,A1V,17.047342,Giant
8.47,1.39,1.09,0.124,B2V:ne,14.185074,Giant
8.07,12.59,0.69,0.539,F7V,18.570127,Giant
8.51,30.67,0.85,0.927,K1V,20.94357,Giant
7.6,5.09,0.86,0.956,K0III,16.133589,Dwarf
7.68,6.48,0.59,1.192,K2III/IVCN.,16.737875,Giant
8.15,12.28,1.07,0.488,F5V,18.595991,Giant
6.74,13.48,0.93,0.465,F5V,17.38845,Giant
8.39,0.12,0.98,0.065,B8III,8.785907,Dwarf
8.31,4.65,1.28,0.312,A7/A8IV,16.647266,Giant
9.2,4.06,1.12,0.228,A5III,17.24263,Dwarf
9.07,9.45,1.22,0.586,G1/G2V,18.947159,Giant
8.82,9.77,1.17,0.783,K1IV:+...,18.769474,Giant
7.24,7.73,1.09,-0.038,B9V,16.680897,Giant
9.45,3.12,0.98,0.333,F2/F3V,16.920773,Giant
10.28,6.34,2.0,0.503,F3V,19.290447,Giant
5.84,9.91,0.79,0.233,A3V,15.820369,Giant
8.08,2.76,0.88,-0.083,B9IV,15.284546,Giant
9.5,4.34,1.69,0.427,O9Ib,17.687449,Dwarf
6.75,16.42,0.83,0.518,F5/F6V,17.826866,Giant
6.4,11.82,0.95,0.387,F3IV,16.763088,Giant
7.54,3.26,0.61,-0.058,B8V,15.106089,Giant
9.33,11.92,1.52,0.557,F7V,19.711382,Giant
8.21,15.13,0.63,0.543,F7V,19.109196,Giant
8.62,8.05,0.8,0.749,G3III,18.14898,Dwarf
8.07,7.16,1.02,1.12,G8III,17.344564,Dwarf
9.13,3.34,1.34,1.17,K2IV,16.748734,Giant
6.73,18.77,0.96,0.5,F6V,18.09732,Giant
5.95,8.92,0.58,1.005,K0II,15.701824,Dwarf
7.81,2.12,1.23,0.077,B1.5V,14.441679,Giant
9.24,50.54,0.99,1.21,K7V,22.758175,Giant
7.99,4.01,0.67,1.173,K1III,16.005722,Dwarf
9.17,7.2,1.54,0.457,F3V,18.456661,Giant
9.21,4.92,0.89,1.022,G8IV,17.669827,Giant
4.7,7.11,0.67,-0.048,A0V,13.959348,Giant
7.43,2.34,0.63,-0.126,B2/B3V,14.276079,Giant
10.66,0.63,2.17,0.505,B2V,14.656702,Giant
8.65,6.16,0.73,0.587,F8V,17.597904,Giant
6.94,25.77,1.07,0.521,F7V,18.995573,Giant
6.42,109.21,0.78,0.754,G8Vp,21.611313,Giant
9.38,7.63,1.46,0.643,G5V,18.792622,Giant
9.8,10.55,1.7,0.85,G8V,19.916264,Giant
6.51,6.34,0.92,0.728,G8III+...,15.520447,Dwarf
8.37,0.3,1.01,1.424,M5/M6II/III,10.755607,Dwarf
8.06,8.88,0.67,0.519,F7V,17.802065,Giant
7.39,4.25,0.96,1.069,K0IV,15.531944,Giant
7.71,2.76,0.6,0.051,B9.5IV,14.914546,Giant
7.6,21.8,1.0,0.601,G0/G1III,19.292284,Dwarf
9.5,3.51,1.64,0.623,G0V,17.226536,Giant
8.34,10.91,2.01,0.533,F7/F8V,18.529123,Giant
8.74,2.61,0.74,0.972,G8III/IV,15.823202,Giant
9.08,8.08,0.77,0.681,G5IV/V,18.617058,Giant
7.71,4.65,0.92,1.226,K2/K3III,16.047264,Dwarf
8.24,9.43,1.21,0.455,F3/F5V,18.112558,Giant
7.91,5.3,0.61,0.586,F6III,16.53138,Dwarf
7.36,1.34,0.83,1.538,K5III,12.995523,Dwarf
8.71,-0.2,1.18,0.259,A0V,10.21515,Giant
9.41,10.66,1.41,0.551,G0V,19.548786,Giant
7.19,5.96,1.08,0.04,A0V,16.06623,Giant
7.91,11.33,0.82,0.673,G0IV,18.181149,Giant
6.48,23.85,0.98,0.526,F6V,18.367441,Giant
9.8,3.68,1.46,0.455,F2V,17.62924,Giant
6.47,7.62,1.03,0.089,A2V,15.879774,Giant
8.69,4.34,1.36,1.87,M2III:,16.877449,Dwarf
9.0,35.39,1.26,1.005,K3V,21.744404,Giant
9.12,16.64,1.27,0.6,G5V,20.225765,Giant
7.65,3.93,0.97,0.992,G8IV,15.6219635,Giant
8.38,3.28,1.08,0.699,G0V,15.95937,Giant
9.8,3.03,1.5,0.524,F5/F6V,17.207214,Giant
7.78,15.43,0.92,0.526,F6V,18.72183,Giant
9.33,11.17,1.35,0.678,G3V,19.570267,Giant
5.89,16.38,1.16,0.12,A1V,16.961569,Giant
7.63,3.57,0.91,0.952,G8/K0IV,15.393341,Giant
9.2,8.8,3.34,0.368,F3IV/V,18.922413,Giant
7.14,3.74,1.1,0.318,A9V,15.004358,Giant
9.07,1.97,1.5,0.484,F5V,15.542331,Giant
7.65,25.82,0.86,0.642,G5V,19.709782,Giant
8.96,3.62,1.78,1.022,K1III,16.753544,Dwarf
6.22,3.08,0.86,0.968,G8II,13.662753,Dwarf
7.62,7.21,0.75,0.04,A1V,16.909676,Giant
8.0,6.85,0.78,0.131,A2V,17.178452,Giant
6.45,5.74,0.55,0.052,A3IV,15.244559,Giant
7.57,1.22,0.9,0.015,B8V,13.0018,Giant
3.91,7.36,0.67,-0.192,B3V,13.244389,Giant
8.86,4.27,1.13,0.024,A0V,17.012138,Giant
8.02,6.29,0.91,0.269,A7V,17.013252,Giant
6.95,8.7,0.85,0.561,F8IV,16.647594,Giant
7.51,8.89,1.45,0.368,F0V+...,17.254509,Giant
9.03,1.02,0.94,0.039,A0IV/V,14.073,Giant
7.16,4.84,0.68,0.884,G6III,15.584227,Dwarf
7.22,5.15,0.78,0.935,K0III,15.779036,Dwarf
9.14,1.51,1.22,0.685,F5IV,15.034885,Giant
8.14,0.78,0.69,-0.053,B8V,12.600473,Giant
8.16,2.02,0.66,-0.127,B3V,14.686756,Giant
8.28,2.43,0.74,0.956,K0III,15.208031,Dwarf
8.34,1.98,1.4,0.002,B9IV,14.823326,Giant
8.77,4.57,0.78,0.93,K0III-IV,17.06958,Giant
10.25,3.74,1.75,0.457,A1/A2V:,18.114359,Giant
8.83,-0.45,1.32,1.008,K0III,12.096063,Dwarf
9.85,11.0,1.02,0.7,G6IV/V,20.056965,Giant
8.44,2.53,1.18,0.23,B1Vnne,15.455603,Giant
6.51,1.6,0.56,-0.147,B3V,12.530601,Giant
8.6,7.74,1.14,0.475,F5/F6V,18.043705,Giant
10.06,23.96,1.65,1.047,K3V,21.957436,Giant
10.51,22.94,2.02,1.22,K5V,22.312967,Giant
8.05,5.17,1.02,0.829,G5IV:w...,16.617453,Giant
8.5,2.11,0.9,0.053,A0V,15.121412,Giant
8.74,13.61,1.16,0.563,G0/G1V,19.40929,Giant
7.64,5.68,1.32,-0.051,B8V,16.411741,Giant
8.81,2.53,0.76,1.494,K3III,15.8256035,Dwarf
8.75,3.35,0.82,-0.033,B9V,16.375225,Giant
9.2,4.23,1.23,0.784,G6V,17.331703,Giant
8.6,-1.64,1.31,1.402,K0IV,14.674219,Giant
7.2,9.04,0.75,1.223,K2III-IV,16.980843,Giant
8.84,2.57,0.86,-0.064,B9IIIp...,15.889666,Dwarf
8.89,8.49,1.9,0.756,G1V,18.534538,Giant
8.92,5.82,1.44,0.382,F0/F2IV,17.744614,Giant
5.6,4.52,1.01,1.317,K3III,13.875692,Dwarf
4.39,25.39,1.02,0.215,A5IV,16.413313,Giant
8.98,0.26,1.53,0.157,A0III,11.054866,Dwarf
8.87,6.78,1.25,0.376,F0V,18.02615,Giant
8.54,11.9,0.75,0.44,F3V,18.917736,Giant
7.9,12.39,1.15,0.453,F3V,18.365356,Giant
9.83,5.9,1.55,0.577,G0V,18.684261,Giant
6.22,7.03,0.49,0.055,A2Vs,15.454777,Giant
6.53,7.97,0.79,1.041,K0III,16.037292,Dwarf
9.22,-0.29,1.46,0.198,B7/B8Ib/II,11.53199,Dwarf
8.55,16.09,1.78,0.702,G6V,19.58278,Giant
7.39,3.35,0.96,0.16,A2V,15.015224,Giant
6.82,2.22,0.84,1.627,K5/M0III,13.551765,Dwarf
7.75,10.05,0.92,0.752,G6V,17.76083,Giant
7.42,9.05,0.97,0.48,F2V,17.203243,Giant
8.59,3.38,0.98,1.242,K3III,16.234585,Dwarf
8.43,0.16,1.03,1.626,M1III,9.4506,Dwarf
9.26,6.38,1.35,0.483,F5V,18.284103,Giant
8.16,5.31,0.63,0.378,F0III/IV,16.785473,Giant
8.98,12.45,1.14,0.602,G2V,19.455845,Giant
9.54,24.9,1.43,0.94,K0V,21.520996,Giant
8.51,3.1,1.15,1.043,K1III,15.966808,Dwarf
6.89,5.64,0.8,1.265,K2/K3III,15.646395,Dwarf
7.79,2.66,0.79,1.586,M1III,14.914409,Dwarf
7.87,1.52,0.99,1.205,K1II/III,13.779218,Dwarf
8.81,6.7,1.21,0.391,F0V,17.940374,Giant
8.5,20.32,1.04,0.648,G5V,20.03962,Giant
8.78,4.37,0.94,0.141,A0V,16.982407,Giant
10.11,5.38,1.87,0.44,F5V,18.763912,Giant
8.23,8.24,1.01,0.616,G2V,17.809635,Giant
9.21,12.67,1.28,0.753,G6V,19.723883,Giant
8.58,42.57,0.86,0.963,K3V,21.725517,Giant
10.55,43.25,2.0,1.412,M2V,23.72993,Giant
6.68,2.71,1.03,0.07,B9III/IV,13.844847,Giant
8.35,15.16,1.22,0.596,G0V,19.253498,Giant
8.98,5.68,1.28,0.705,G2V,17.751741,Giant
7.22,13.43,1.37,0.368,F2V,17.86038,Giant
9.28,17.7,1.31,0.853,K0V,20.519867,Giant
6.54,8.74,0.9,-0.01,A1V,16.247557,Giant
6.72,13.89,0.74,0.23,A4III/IV,17.43351,Giant
9.1,14.24,1.34,0.642,G3V,19.86755,Giant
7.25,6.82,0.87,1.029,G8IV,16.418922,Giant
5.55,3.35,1.16,1.1,G5III,13.175224,Dwarf
7.84,3.27,0.97,0.896,G5III,15.412739,Dwarf
8.73,5.45,1.31,0.35,A9V,17.411983,Giant
8.6,2.84,1.2,0.4,F5IV,15.866592,Giant
8.56,6.68,0.78,0.462,F7IV,17.683884,Giant
10.22,0.88,3.74,0.753,G5IV/V,14.942413,Giant
7.85,6.91,0.67,0.881,G8III/IV,17.04739,Giant
8.89,9.62,1.12,0.734,G3IV,18.805876,Giant
8.0,2.1,1.86,0.12,B2Vnne,14.611096,Giant
8.99,23.82,1.09,0.865,G8IV,20.874708,Giant
8.32,2.21,1.65,1.096,G6IV,15.041962,Giant
7.96,6.91,1.04,0.259,A7IV,17.15739,Giant
6.6,7.19,0.74,1.141,K1III,15.883644,Dwarf
8.97,9.63,1.2,0.66,G5IV,18.888132,Giant
6.69,10.59,0.55,0.365,F0III,16.814482,Dwarf
7.88,13.01,0.64,0.569,F8V,18.451385,Giant
6.34,10.94,0.69,0.469,F6IV,16.535086,Giant
8.59,10.42,1.54,0.3,F6IV/V,18.679338,Giant
8.96,1.87,2.28,0.99,K1/K2IV,15.319208,Giant
7.97,2.13,0.69,0.022,B9V,14.611898,Giant
6.62,17.62,0.95,0.479,F6V,17.850029,Giant
8.3,5.19,0.8,1.129,K0III,16.875835,Dwarf
8.5,0.66,1.16,1.381,K2/K3III,12.597719,Dwarf
9.02,1.65,1.39,0.018,B9.5V,15.10742,Giant
6.5,8.28,0.56,0.997,K0III,16.09015,Dwarf
5.82,3.1,0.54,-0.137,B4Vnn,13.276808,Giant
8.75,2.04,1.62,0.18,A0V,15.298151,Giant
5.07,6.43,0.79,-0.055,B8III,14.111055,Dwarf
7.77,5.04,1.17,1.037,K0III,16.282152,Dwarf
8.93,2.05,0.77,0.114,B8V,15.48877,Giant
8.27,10.26,1.12,0.495,F5/F6V,18.325737,Giant
8.27,2.16,1.0,1.023,G6IV,14.942269,Giant
8.59,1.71,1.22,1.283,G8III,14.75498,Dwarf
9.17,1.66,1.25,0.911,G6III,15.27054,Dwarf
8.03,7.93,0.93,0.4,F3V,17.526365,Giant
9.26,1.2,1.39,0.434,B2Ve,14.655907,Giant
8.46,49.72,1.0,1.137,K5V,21.942657,Giant
7.89,5.12,0.94,0.046,A0IV/V,16.43635,Giant
11.39,-0.16,2.5,0.781,O9.5III,12.410601,Dwarf
6.29,8.95,0.75,0.173,A7V,16.049114,Giant
9.71,4.47,1.01,0.44,F3IV/V,17.961536,Giant
7.76,2.5,0.97,1.605,K5III,14.749701,Dwarf
9.25,17.28,3.52,0.79,G8/K0V,20.437717,Giant
7.18,6.25,1.0,0.061,A1V,16.1594,Giant
7.35,2.71,0.74,1.157,K1III,14.514847,Dwarf
7.76,12.49,0.9,0.48,F6IV-V,18.242813,Giant
9.32,15.14,1.3,0.662,G6V,20.22063,Giant
7.72,2.9,0.87,0.028,A0V,15.03199,Giant
6.2,13.93,1.02,0.192,A3V,16.919756,Giant
9.18,16.84,1.28,0.679,G6V,20.31171,Giant
7.37,18.86,1.49,0.582,G0V,18.747707,Giant
8.18,1.68,0.92,-0.01,B9V,14.306547,Giant
8.59,4.67,0.93,0.453,F3III,16.936584,Dwarf
9.05,21.92,1.1,0.802,G8/K0V,20.754204,Giant
9.05,2.02,1.29,1.131,K0V,15.576757,Giant
8.26,3.76,0.75,0.006,A0Vn,16.13594,Giant
8.98,5.29,0.72,0.347,F0/F2IV,17.597279,Giant
7.34,7.14,1.12,0.267,A9V,16.608492,Giant
7.57,3.96,0.82,0.997,G8III,15.558476,Dwarf
9.05,6.08,1.26,0.631,G3V,17.969517,Giant
5.75,5.95,0.8,1.412,K1II-III,14.622584,Dwarf
7.89,5.85,0.92,0.78,G3III,16.725779,Dwarf
7.33,2.28,0.81,-0.013,B9.5V,14.119675,Giant
7.44,6.43,0.79,0.175,A5V,16.481054,Giant
8.37,5.18,0.86,0.776,G6IV,16.941648,Giant
6.22,1.75,0.52,2.673,C5II,12.43519,Dwarf
8.71,1.27,0.89,0.097,B0IV:,14.229019,Giant
7.41,7.2,0.59,0.159,A4V,16.696663,Giant
8.04,2.91,0.72,1.064,K1III,15.359465,Dwarf
7.64,8.71,0.75,0.476,F5IV,17.34009,Giant
7.28,64.17,0.85,0.815,K1V,21.31666,Giant
7.24,7.29,1.1,0.495,F3V,16.553638,Giant
8.6,3.67,1.25,0.174,A0IV/V,16.42333,Giant
9.25,1.18,1.68,0.774,A5V,14.60941,Giant
8.39,8.22,1.19,0.415,F3IV/V,17.96436,Giant
9.3,8.91,1.67,0.724,G5V,19.049389,Giant
9.05,1.59,1.08,0.038,B2V,15.056986,Giant
9.09,4.62,1.08,0.362,F0V,17.41321,Giant
8.82,3.49,1.32,0.541,F5V,16.534126,Giant
9.96,64.24,2.68,1.442,M1V:e...,23.999027,Giant
8.46,3.87,1.1,0.956,G5IV,16.398556,Giant
7.2,0.2,0.86,-0.022,B2IV,8.70515,Giant
7.59,4.64,0.76,1.08,K0III,15.92259,Dwarf
7.61,4.51,0.95,1.132,K0II-III,15.880882,Dwarf
8.13,7.63,0.74,0.334,A9II/III,17.542622,Dwarf
8.52,4.24,1.14,0.52,F7V,16.65683,Giant
8.18,2.9,1.04,0.839,G6/G8IV,15.491991,Giant
6.41,3.95,0.53,1.508,M4III,14.392985,Dwarf
7.66,2.92,0.89,0.314,A2IV/V,14.986914,Giant
7.04,3.73,0.92,0.248,B5V,14.898544,Giant
7.84,5.47,0.97,1.053,K0III,16.529938,Dwarf
9.15,0.95,1.23,0.165,A1IV/V,14.038618,Giant
6.05,5.31,0.64,-0.031,A0V,14.675473,Giant
7.47,17.82,1.05,0.478,F6V,18.724539,Giant
7.17,11.04,0.73,0.376,F2IV,17.384846,Giant
8.57,1.16,0.73,-0.059,B8V,13.89229,Giant
8.1,6.17,0.59,0.136,A2V,17.051426,Giant
9.15,2.75,0.75,0.049,B9.5V,16.346664,Giant
9.89,5.78,1.07,0.576,F5V,18.699638,Giant
8.04,15.63,1.08,0.531,F7V,19.009796,Giant
8.3,4.32,0.99,1.128,K1III,16.477419,Dwarf
5.0,8.7,0.9,-0.078,B9V,14.697596,Giant
8.51,4.49,1.31,0.24,A1V,16.771233,Giant
9.65,4.53,1.4,0.67,G1V,17.93049,Giant
7.98,14.54,0.88,0.665,G3V,18.792822,Giant
8.11,6.18,0.94,0.23,A5V,17.064941,Giant
7.18,20.9,0.92,0.47,F6V,18.780731,Giant
9.18,5.05,1.24,0.514,F5V,17.696457,Giant
7.95,9.93,0.99,0.724,G2IV/V,17.934746,Giant
8.93,1.84,1.26,0.248,A8V,15.254089,Giant
9.47,11.78,0.98,0.566,G2V,19.825726,Giant
7.88,5.06,2.11,0.395,F2IV,16.400753,Giant
7.43,20.53,0.63,0.467,F5V,18.991945,Giant
9.58,12.22,1.01,0.625,G3V,20.015356,Giant
8.8,3.66,0.97,-0.015,B9.5Vn,16.617405,Giant
4.91,15.6,0.73,-0.047,B9V,15.875624,Giant
9.22,8.18,1.33,0.642,G3V,18.783768,Giant
6.7,4.66,1.03,1.356,M6III,15.04193,Dwarf
6.2,2.26,0.5,-0.137,B2.5V,12.970542,Giant
8.81,2.83,0.8,0.122,B9V,16.068932,Giant
8.68,9.54,1.21,0.46,F3/F5V,18.577744,Giant
7.99,2.93,0.96,0.024,B9.5V,15.324338,Giant
8.53,4.62,1.15,1.292,K2III,16.85321,Dwarf
7.85,11.06,0.93,0.294,F3IV,18.068775,Giant
9.0,24.85,1.55,0.78,K0V,20.976631,Giant
7.11,8.58,1.18,0.234,A8V,16.777437,Giant
8.16,7.82,1.01,0.175,A3IV,17.626034,Giant
7.86,7.04,0.89,0.49,F6V,17.097864,Giant
8.33,5.08,1.06,0.448,F3IV/V,16.859318,Giant
8.86,12.47,0.8,0.59,F8V,19.339333,Giant
8.23,0.14,1.05,1.348,K2/K3III,8.96064,Dwarf
8.27,9.85,0.81,0.915,G8/K0IV,18.237183,Giant
9.46,5.7,1.47,0.41,F0IV/V,18.239374,Giant
8.65,7.1,0.99,0.39,F3V,17.906292,Giant
7.66,9.56,0.63,0.287,A9/F0IV,17.56229,Giant
5.32,10.26,0.57,-0.014,A0Vnn,15.375738,Giant
8.09,4.71,0.6,0.031,B9.5V,16.455105,Giant
9.31,24.12,1.34,0.988,K1/K2V,21.221888,Giant
9.04,7.44,1.16,0.475,F3V,18.397865,Giant
8.03,0.97,1.12,1.445,K3III,12.963859,Dwarf
8.95,0.74,0.85,0.994,G8/K0III,13.296158,Dwarf
8.35,11.12,1.22,0.655,G3V,18.580524,Giant
9.11,3.53,1.42,0.489,F3V,16.848873,Giant
6.71,3.41,0.83,-0.008,B9V,14.373772,Giant
8.04,6.72,1.24,0.066,A1V,17.176846,Giant
7.33,2.47,0.77,1.64,M1III,14.293485,Dwarf
9.66,7.47,0.98,0.45,F3V,19.026604,Giant
7.51,4.72,0.97,0.95,G8/K0IV,15.87971,Giant
8.35,3.8,1.24,1.025,K1III,16.248919,Dwarf
6.6,9.89,0.79,0.11,A1/A2V,16.575981,Giant
6.57,15.52,0.67,0.506,F7V,17.524458,Giant
8.94,7.97,1.03,0.676,G5VCN...,18.447292,Giant
7.09,4.67,0.92,0.976,K0III,15.436584,Dwarf
8.68,3.1,1.17,0.024,B9V,16.136808,Giant
10.27,11.13,5.45,0.05,A0/A1V,20.502476,Giant
8.65,26.04,1.34,0.661,G5V+...,20.728203,Giant
9.06,3.3,0.83,0.444,F2/F3V,16.652569,Giant
8.76,12.72,1.25,0.494,G0III,19.282436,Dwarf
9.05,-9.83,2.81,0.037,B9V,19.012768,Giant
6.53,3.69,0.73,0.051,A0Vs,14.365131,Giant
6.35,5.84,0.95,-0.033,B9/B9.5V,15.182064,Giant
7.76,3.18,0.99,1.107,K0III,15.272136,Dwarf
7.7,3.96,0.88,0.378,A9III,15.688477,Dwarf
8.92,9.58,1.45,0.432,F3IV,18.826828,Giant
7.18,17.42,0.61,0.526,F6V,18.38524,Giant
8.32,7.65,0.69,0.453,F3V,17.738308,Giant
4.84,5.68,0.46,-0.189,B3V,13.611742,Giant
8.01,4.4,0.73,1.079,K1III,16.227264,Dwarf
6.81,4.23,0.91,1.56,M2III,14.941702,Dwarf
8.32,4.11,1.07,1.051,K0III,16.38921,Dwarf
7.07,6.81,0.88,-0.016,A0V,16.235735,Giant
9.3,9.22,2.11,0.1,A1V,19.123655,Giant
7.59,3.04,0.7,0.231,A4III,15.004368,Dwarf
8.21,2.93,0.84,0.068,A0V,15.544338,Giant
6.78,2.71,0.96,1.158,K1III,13.944847,Dwarf
8.31,6.66,0.96,0.265,A7IV,17.427372,Giant
7.55,9.72,0.61,0.571,F7/F8V,17.48833,Giant
8.44,1.36,0.66,0.079,B9.5IV/V,14.107695,Giant
9.25,3.15,0.96,1.096,G8III/IV,16.741552,Giant
8.93,0.54,1.57,1.191,K1III,12.591969,Dwarf
5.94,13.37,0.64,0.154,A1V,16.570658,Giant
7.39,14.63,1.0,0.475,F5V,18.21622,Giant
9.46,6.0,1.01,0.649,G5V:,18.350758,Giant
9.39,7.82,1.7,0.7,G5:III:w...,18.856033,Dwarf
9.08,2.96,1.31,0.133,A2V,16.436459,Giant
9.35,7.84,0.86,0.554,F7V,18.82158,Giant
9.05,10.09,1.97,0.57,F7/F8V,19.069456,Giant
5.99,4.59,0.69,1.039,G7III,14.299064,Dwarf
11.18,47.1,2.37,1.482,M1V:,24.545105,Giant
8.36,2.93,1.82,0.025,A0V,15.694338,Giant
9.42,8.91,1.1,0.722,G6V,19.169388,Giant
8.78,3.72,1.07,1.071,G8III,16.632713,Dwarf
8.49,8.64,1.11,0.451,F3V,18.17257,Giant
9.31,12.96,0.88,0.603,G3V,19.873026,Giant
1.35,742.12,1.4,0.9,K1V,20.702372,Giant
8.94,5.97,1.42,0.409,F0V,17.81987,Giant
7.89,5.8,1.01,1.058,K0III,16.70714,Dwarf
8.8,5.38,0.91,0.475,F6V,17.45391,Giant
6.3,2.15,1.02,-0.01,B5III,12.962193,Dwarf
8.09,4.06,0.72,-0.009,A0V,16.13263,Giant
7.74,2.81,1.91,0.434,F3IV/V,14.983532,Giant
5.5,8.14,0.53,1.219,K2III,15.0531225,Dwarf
9.28,10.83,1.32,0.635,F8/G0V,19.45314,Giant
8.81,4.16,1.19,1.273,K2III,16.905468,Dwarf
8.65,2.53,0.85,1.37,K1III,15.665602,Dwarf
6.46,3.61,0.85,1.25,K2III,14.247537,Dwarf
4.05,94.93,0.67,0.595,G0V,18.93702,Giant
4.07,33.75,0.75,0.088,A3V,16.711369,Giant
8.63,2.82,0.75,0.951,G8III,15.881246,Dwarf
8.68,3.69,0.73,-0.095,B9IV,16.515133,Giant
6.59,20.58,1.74,0.536,F7V+...,18.157227,Giant
9.0,12.03,1.53,0.582,G2V,19.401327,Giant
8.77,4.51,0.81,0.829,G6V,17.040882,Giant
9.28,9.48,1.19,0.49,F6IV/V,19.164042,Giant
8.38,4.11,0.77,0.135,A2/A3V,16.44921,Giant
8.49,3.15,1.38,1.62,M2/M3III,15.981552,Dwarf
8.14,5.39,1.46,0.364,F0V,16.797943,Giant
5.45,9.32,0.84,-0.127,B3V,15.297079,Giant
8.84,12.71,1.07,0.608,G0V,19.360727,Giant
9.22,4.24,1.03,0.166,A3V,17.35683,Giant
9.22,4.29,0.87,0.627,G1IV,17.382286,Giant
7.94,2.13,0.89,0.081,A1IV,14.581898,Giant
7.59,4.64,1.03,-0.005,B6V,15.92259,Giant
8.78,9.71,1.09,0.798,G8IV,18.716095,Giant
9.34,6.54,0.99,0.622,F0V,18.417889,Giant
8.53,6.1,1.68,0.651,G0IV/V,17.45665,Giant
6.84,2.08,0.8,-0.152,B2V,13.430317,Giant
7.76,5.86,0.8,0.241,A4V,16.599487,Giant
8.22,11.98,1.7,0.614,F8V,18.612286,Giant
8.41,13.61,1.12,0.525,F7/F8V,19.07929,Giant
9.22,8.77,1.47,0.542,G0/G1V,18.934998,Giant
8.59,2.22,0.73,1.134,K0II/III,15.321766,Dwarf
9.64,5.73,1.49,0.844,G5V,18.430775,Giant
8.6,6.13,1.41,0.37,F3V,17.537304,Giant
9.2,6.76,1.41,0.493,F5V,18.349733,Giant
7.84,13.46,0.62,0.91,K0IV/V,18.485226,Giant
9.54,21.37,1.43,0.94,K2V,21.189022,Giant
7.9,-0.71,0.92,-0.06,B2IVn,12.156292,Giant
8.44,-0.87,0.77,1.27,M2e-M8.8Ibe,13.137596,Dwarf
8.32,0.25,1.19,1.385,K2III,10.3097,Dwarf
9.52,5.83,1.01,0.545,F6V:,18.348343,Giant
8.82,6.86,1.25,0.27,A4V,18.001621,Giant
6.58,6.36,0.68,0.976,G8III/IV,15.597285,Giant
7.65,2.6,0.87,0.123,B4IV,14.724867,Giant
6.83,2.74,0.57,-0.128,B4V,14.018753,Giant
9.15,1.82,1.55,-0.012,B8IV,15.4503565,Giant
9.72,19.53,1.45,0.95,K2V,21.173512,Giant
7.83,7.72,0.79,0.399,F3III/IV,17.268085,Giant
4.83,4.34,0.49,-0.179,B3IV/V,13.017448,Giant
4.94,10.68,0.92,0.77,F5V comp SB,15.082855,Giant
8.52,9.14,1.07,0.365,F0V,18.324732,Giant
8.78,7.42,1.26,0.444,F3IV,18.132019,Giant
8.8,3.14,0.98,0.882,G6/G8III,16.284649,Dwarf
7.76,0.5,0.78,0.117,B1.5II,11.25485,Dwarf
8.59,22.53,0.91,0.769,G8V,20.353806,Giant
11.73,21.56,3.09,1.35,M0V:,23.398243,Giant
8.85,16.08,1.25,0.676,G3/G5V,19.88143,Giant
7.04,6.61,0.85,0.137,B6/B7Vn,16.141006,Giant
2.04,34.04,0.82,1.019,K0III,14.699948,Dwarf
5.78,9.0,0.82,-0.076,B8V,15.551212,Giant
9.3,3.94,1.53,0.958,K0III,17.277481,Dwarf
8.43,21.04,1.21,0.682,G5V,20.045229,Giant
8.5,2.62,1.57,0.607,F6IV/V,15.591507,Giant
9.46,7.69,1.6,0.426,A8/A9V,18.889633,Giant
8.06,5.03,0.68,0.19,A5IV,16.56784,Giant
8.4,1.49,1.27,1.254,K0III,14.265931,Dwarf
6.74,4.27,0.87,0.944,G8IV,14.892139,Giant
7.89,31.48,1.97,0.862,K1V,20.380173,Giant
8.09,3.0,0.88,-0.059,B7V,15.475607,Giant
7.86,6.77,0.86,0.105,A1V,17.012943,Giant
8.3,0.68,1.94,-0.006,B8V,12.462545,Giant
8.73,3.25,0.98,1.09,K0III,16.289417,Dwarf
8.03,8.95,0.71,0.503,F7V,17.789116,Giant
7.74,3.45,0.95,1.495,K3V,15.429095,Giant
7.86,7.05,0.77,0.91,G8III,17.100946,Dwarf
9.24,6.63,1.83,0.484,F7:V+...,18.347569,Giant
7.91,2.56,1.16,1.616,K5III,14.9512,Dwarf
8.53,0.37,0.8,1.434,K3III:,11.371008,Dwarf
7.3,13.63,1.04,0.677,G5V,17.972479,Giant
6.4,25.47,1.06,0.471,F5V,18.430145,Giant
6.42,6.59,0.77,-0.013,B9.5V,15.514427,Giant
6.03,8.74,1.24,0.04,A0V,15.737556,Giant
6.56,14.29,1.64,0.344,F2V:,17.335161,Giant
9.27,8.67,1.13,0.617,G3V,18.960094,Giant
9.12,2.4,1.13,0.687,G6V,16.021057,Giant
8.46,7.09,0.73,0.605,G0V,17.71323,Giant
9.16,2.45,1.07,0.95,G8III,16.105831,Dwarf
8.86,12.38,1.18,0.719,G6V,19.3236,Giant
10.09,10.55,1.68,0.697,G8V,20.206263,Giant
8.81,6.53,1.15,0.841,G8V,17.884567,Giant
7.99,2.95,0.89,0.18,A5/A6IV,15.339109,Giant
7.06,4.34,0.76,0.068,A1/A2IV,15.247448,Giant
7.22,3.84,0.83,1.107,K1III,15.141657,Dwarf
9.07,10.97,2.02,0.563,G1V,19.271034,Giant
7.66,2.16,1.07,1.614,K5/M0III,14.332269,Dwarf
